"","STU_ID","UWFGPA1stYear","Prior_Hours","StartMajor","Gender","Ethnicity","County","FirstMathCrs","FirstMathCrsGrade","UWFHour1stTerm","UWFGPA1stTerm","Drop1stYear"
"1","00FACE5E51496B9410FA149CA34B5BD708BFA244",3.63461538461538,3,"Software Engineering","M","White","ESCA","MAC1147","A","13","3.93076923076923","Retained"
"2","018F7B70D246A9DE25181488372B5622947367E9",3.79,37,"Biology","F","Hispanic","ESCA","MAC2311","A","15","3.72","Retained"
"3","01F0C75E68A3DEC6F98AE5B07FD61765AF0BA481",2.025,7,"Marine Biology","F","White","NFLA","MAC1105C","B","9","2","Retained"
"4","01F56EA95CBEDA5C532D8C4C7804B0AA821C19F1",3.03098591549296,50,"Cybersecurity","M","White","SANT","NoAttempt","NoAttempt","12","1.925","Retained"
"5","027373C8981B196AB759EE0012E8E4435585441D",3.15384615384615,9,"Electrical Engineering","M","White","SANT","MAC1147","B+","12","3.23333333333333","Retained"
"6","02977CF46BCA7ABE811134CF58ACE5F988995CD1",0,44,"Mechanical Engineering","M","White","DUVA","MAC2311","A","12","3.66666666666667","Dropped"
"7","03876BF335A33EC33A0BC7941670F3B1BCC89D2B",2.78108108108108,6,"Marine Biology","F","White","CITR","MAC1147","B+","15","2.94666666666667","Retained"
"8","0525A645CD526DEF86164139D999DBBCCDC8DF28",3.68571428571429,10,"Biomedical Sciences","M","White","ESCA","NoAttempt","NoAttempt","14","3.71428571428571","Retained"
"9","058C3814219CBC3068957450B5A842162041402D",2.27727272727273,0,"Marine Biology","M","White","ESCA","MAC1105C","W","6","2","Retained"
"10","06501E09C0F8D84E321C98738DBB19FB4C7BF669",3.51153846153846,20,"Marine Biology","F","White","NFLA","NoAttempt","NoAttempt","14","3.65","Retained"
"11","07C3CD610049C08BCFD25BC6EEFB13B9C40BA0FD",3.212,19,"Mechanical Engineering","M","White","WAKU","MAC2311","A","13","3.7","Retained"
"12","0891428F42DBD8CF891B4D3B6342C6EF04221217",2.71904761904762,15,"Mechanical Engineering","M","White","ORAN","MAC1147","C","14","2.87142857142857","Retained"
"13","08B51DB404B981073255CC5E1D66B2A34C83D577",2.90882352941177,3,"Biomedical Sciences","F","White","ESCA","MAC1105","C-","12","2","Retained"
"14","091B3C93A1601C8345486BAF6636CE5D89CB3C8F",2.992,0,"Mechanical Engineering","M","Hispanic","ESCA","MAC1105C","B-","13","3.06923076923077","Retained"
"15","096862A7CC0D12577377E93279AAF018C4E9A518",0,0,"Marine Biology","M","African American","WAKU","MAC1105C","F","10","0","Dropped"
"16","09D2690505236CE0C6D3AA144D0C78F8A6A81695",3.12307692307692,0,"Cybersecurity","M","White","ESCA","MAC1147","C","13","2.92307692307692","Retained"
"17","0B1601C5D290E2FEA08AB9C6DB7DDCD324B556D4",2.32857142857143,12,"Mechanical Engineering","M","White","ESCA","MAC1147","B+","15","2.26","Retained"
"18","0B4257EBEBFC2841EA41140BC7A510B1142A57AA",2.924,6,"Biology","F","Two or More","ESCA","NoAttempt","NoAttempt","14","2.93571428571429","Retained"
"19","0B5DFAC329140AC1191541DA3B420DB9DBE0CF7D",3.44285714285714,0,"Marine Biology","F","White","NFLA","MAC1105","A-","13","3.55384615384615","Retained"
"20","0B82BE693E5F389849A9FE3D33B8A74CA3DB212B",3.621875,0,"Biology","F","White","SANT","NoAttempt","NoAttempt","13","3.53076923076923","Retained"
"21","0C1CE0407FB435DC96E2A702E1A401763A030BD1",3.2,15,"Biochemistry","M","White","ESCA","MAC2312","F","15","2.46666666666667","Retained"
"22","0C43B68958EE39890E92D1B1343EB7B07D5BAF14",2.8025,15,"Marine Biology","F","White","OKAL","MAC1147","A-","16","3.29375","Retained"
"23","0CC8A265A75C18BA01E5E1FA894F512FB193FBF9",1.21428571428571,19,"Mechanical Engineering","M","White","SANT","MAC1147","D","14","1.21428571428571","Dropped"
"24","0E8945B19145F54971863804290F5273FF0935BA",3.21333333333333,18,"Biology","F","White","OKAL","MAC1147","B+","15","3.14666666666667","Retained"
"25","0F1B414CF977CEC69B89FF89E7594B4455898923",3.75151515151515,26,"Mechanical Engineering","M","White","SANT","MAC1147","A","14","3.56428571428571","Retained"
"26","0FA69E33BED358CB002AE1CC66310BDA6959F09B",2.28571428571429,0,"Biomedical Sciences","M","African American","SEMI","NoAttempt","NoAttempt","NoAttempt","NoAttempt","Dropped"
"27","0FC0C871E52FC0B737D04F250B0A73534C362D1F",3.35,23,"Biology","F","White","SANT","MAC1147","B","13","2.99230769230769","Retained"
"28","111AB314108ACEFF2D07401002159B5569B27A5E",3.075,6,"Cybersecurity","M","White","SANT","MAC2311","F","16","2.11875","Retained"
"29","111D28829BE5F0630859445BC0BF02028FD59654",3.97352941176471,12,"Biomedical Sciences","F","White","ESCA","MAC1147","A","13","4","Retained"
"30","114CC0438958F0686A298BA47F775A276222E63F",3.54848484848485,9,"Biomedical Sciences","F","White","ORAN","MAC1147","A-","15","3.67333333333333","Retained"
"31","118F530B9F708DEB12C11998BD125513ED258D77",3.13928571428571,0,"Computer Information Systems","M","White","OKAL","MAC1105C","B-","13","3.06923076923077","Retained"
"32","12460CFC5672F0FC131D0E35C7030807492CAA4E",3.34571428571429,0,"Biomedical Sciences","F","African American","HERN","MAC1105C","A-","14","3.27142857142857","Retained"
"33","13C1E293F8A9E2ED8E0692599477C7F812DE1581",2.45,0,"Information Technology","M","American Indian/Alaskan Native","ESCA","NoAttempt","NoAttempt","12","2.15","Retained"
"34","1401DA1D77CD3A54816AA38DBA7C32ED11B3320B",3.44193548387097,4,"Chemistry","F","Hispanic","LAKE","MAC1147","B-","14","3.26428571428571","Retained"
"35","142DF53A446A10D3218B781DBFF44F779200742A",0.98,4,"Mechanical Engineering","M","Two or More","SANT","MAC1147","F","12","0.408333333333333","Dropped"
"36","154F9AD0193F37F2A57F0425C3198F1D54EC5C7E",3.39032258064516,28,"Computer Science","F","White","NFLA","MAC1147","A","13","3.93076923076923","Retained"
"37","15A8437110BCCF6A6CA49847C84550138241B3D1",2.93571428571429,0,"Cybersecurity","M","African American","PALM","NoAttempt","NoAttempt","14","2.93571428571429","Dropped"
"38","165B09C0B48CCCF122666633AAF9AB04F3F5D359",3.07837837837838,36,"Biomedical Sciences","F","Hispanic","SANT","MAC1147","B","14","3.12857142857143","Retained"
"39","17865C957468A0C8DD333BD43CA5CFF29B84E00C",2.32307692307692,0,"Computer Engineering","M","White","NFLA","MAC1147","C+","13","2.32307692307692","Dropped"
"40","17A723A82DE9F10136356DAA63CD103A5BD711AD",2.93333333333333,11,"Biomedical Sciences","F","Hispanic","DADE","MAC1105C","B","12","2.33333333333333","Retained"
"41","1847CD981C9275B08264AF4470A92DFBDC88F89E",3.61666666666667,22,"Mechanical Engineering","M","African American","ESCA","MAC2312","B+","16","3.575","Retained"
