STU_ID,GPA_HIGHSCHOOL,Prior_Hours,ReStartMajor,Gender,ReEthnicity,ReCounty,ReFirstMathCrs,FirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
00E78B08E85793CAE9F387C940E50FEBF2D04BE1,4.12,25,Natural Science,M,White,OKAL,MAC1147,A,17,3.629411765,Retained
00FACE5E51496B9410FA149CA34B5BD708BFA244,3.47,3,Software Engineering,M,White,ESCA,MAC1147,A,13,3.930769231,Retained
018F7B70D246A9DE25181488372B5622947367E9,4,37,Biology,F,Hispanic,ESCA,MAC2311,A,15,3.72,Retained
01B8BF0D0D682B3772D60F379E7074645153C44C,3.46,0,Mechanical Engineering,M,Two or More,Others,MAC1147,B,13,2.946153846,Retained
01DE7D50075BFFD6C13DB093E9E3355F930538DE,4.11,0,Biomedical Sciences,F,Two or More,SANT,MAC1105,D,13,2.461538462,Retained
01F0C75E68A3DEC6F98AE5B07FD61765AF0BA481,2.6,7,Marine Biology,F,White,NFLA,MAC1105C,B,9,2,Retained
01F56EA95CBEDA5C532D8C4C7804B0AA821C19F1,4.02,50,Cybersecurity,M,White,SANT,NoAttempt,NoAttempt,12,1.925,Retained
01F5C0D43045941802EC883069FDBA3CECE1291C,4.49,60,Mechanical Engineering,M,White,WALT,MAC2311,C-,8,2.8125,Retained
027373C8981B196AB759EE0012E8E4435585441D,3.75,9,Electrical Engineering,M,White,SANT,MAC1147,B+,12,3.233333333,Retained
02977CF46BCA7ABE811134CF58ACE5F988995CD1,3.6,44,Mechanical Engineering,M,White,DUVA,MAC2311,A,12,3.666666667,Dropped
02EDB113AEC7A7E0EFA2BFBD1BEF274E78068977,4.02,6,Marine Biology,F,Hispanic,SANT,MAC1105C,B-,12,2.658333333,Retained
031CC68C3A5572A6205490B9037B286E3BC9BACD,3.13,14,Engineering,M,White,SANT,MAC1147,C+,17,2.03,Dropped
03876BF335A33EC33A0BC7941670F3B1BCC89D2B,3.8,6,Marine Biology,F,White,Others,MAC1147,B+,15,2.946666667,Retained
0525A645CD526DEF86164139D999DBBCCDC8DF28,4,10,Biomedical Sciences,M,White,ESCA,NoAttempt,NoAttempt,14,3.714285714,Retained
0526B21E8B7155523AB134D08775A284A3C2B92B,4.24,12,Biomedical Sciences,F,White,Others,MAC1147,A,15,4,Retained
053586B02976E7C8A5C847EE25495F8515E535D5,3.78,10,Software Design & Development,M,African American,ORAN,MAC1105C,A-,13,2.915384615,Dropped
058C3814219CBC3068957450B5A842162041402D,3.3,0,Marine Biology,M,White,ESCA,MAC1105C,W,6,2,Retained
059525A8D932DCCD3505C934F84929752A6700EE,4.13,0,Marine Biology,F,White,NFLA,MAC1105C,A,15,4,Retained
06501E09C0F8D84E321C98738DBB19FB4C7BF669,3.57,20,Marine Biology,F,White,NFLA,NoAttempt,NoAttempt,14,3.65,Retained
06EEA0D36EB8A396E70E9BDFE1883ECA4B759779,5,13,Marine Biology,F,White,Others,MAC1105,B-,14,3.292857143,Dropped
07AFAE8AA57D74D0EE07509DBFD7FB096CC8C390,3,0,Biomedical Sciences,M,Hispanic,SANT,MAC1105C,B-,15,2.446666667,Retained
07C3CD610049C08BCFD25BC6EEFB13B9C40BA0FD,3.9,19,Mechanical Engineering,M,White,Others,MAC2311,A,13,3.7,Retained
085C27B1DFD8DAF44075ACB381945B6AF857DDCE,3.76,28,Marine Biology,F,Others,ESCA,MAC1147,W,6,1.5,Dropped
0891428F42DBD8CF891B4D3B6342C6EF04221217,3.63,15,Mechanical Engineering,M,White,ORAN,MAC1147,C,14,2.871428571,Retained
08B51DB404B981073255CC5E1D66B2A34C83D577,4.22,3,Biomedical Sciences,F,White,ESCA,MAC1105,C-,12,2,Retained
08FD40199FB998EDF24256A1C72899D641A4AD12,4.07,3,Biomedical Sciences,F,White,NFLA,MAC1147,B+,13,3.784615385,Retained
09094B9A1A26B65DB1C9D8172048286F55CAB876,3.73,0,Mechanical Engineering,M,White,OKAL,MAC1147,B,13,2.823076923,Retained
091B3C93A1601C8345486BAF6636CE5D89CB3C8F,3.7,0,Mechanical Engineering,M,Hispanic,ESCA,MAC1105C,B-,13,3.069230769,Retained
092F698AD05C9A19D514C3C261C3380656E233C5,4.41,0,Biomedical Sciences,M,White,SANT,MAC1147,C+,12,2.533333333,Dropped
094BDEF6D7415F72B7D55943327AB58AB4737096,4.1,6,Biomedical Sciences,M,Hispanic,SANT,MAC1147,A,15,3.546666667,Retained
