STU_ID,UWFGPA1stYear,Prior_Hours,StartMajor,ReStartMajor,Gender,Ethnicity,ReEthnicity,County,ReCounty,FirstMathCrs,ReFirstMathCrs,FirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear,GPA_HIGHSCHOOL
00E78B08E85793CAE9F387C940E50FEBF2D04BE1,3.465714286,25,Natural Science,Natural Science,M,White,White,OKAL,OKAL,MAC1147,MAC1147,A,17,3.629411765,Retained,4.12
00FACE5E51496B9410FA149CA34B5BD708BFA244,3.634615385,3,Software Engineering,Software Engineering,M,White,White,ESCA,ESCA,MAC1147,MAC1147,A,13,3.930769231,Retained,3.47
018F7B70D246A9DE25181488372B5622947367E9,3.79,37,Biology,Biology,F,Hispanic,Hispanic,ESCA,ESCA,MAC2311,MAC2311,A,15,3.72,Retained,4
01B8BF0D0D682B3772D60F379E7074645153C44C,2.873333333,0,Mechanical Engineering,Mechanical Engineering,M,Two or More,Two or More,BREV,Others,MAC1147,MAC1147,B,13,2.946153846,Retained,3.46
01DE7D50075BFFD6C13DB093E9E3355F930538DE,2.628571429,0,Biomedical Sciences,Biomedical Sciences,F,Two or More,Two or More,SANT,SANT,MAC1105,MAC1105,D,13,2.461538462,Retained,4.11
01F0C75E68A3DEC6F98AE5B07FD61765AF0BA481,2.025,7,Marine Biology,Marine Biology,F,White,White,NFLA,NFLA,MAC1105C,MAC1105C,B,9,2,Retained,2.6
01F56EA95CBEDA5C532D8C4C7804B0AA821C19F1,3.030985915,50,Cybersecurity,Cybersecurity,M,White,White,SANT,SANT,NoAttempt,NoAttempt,NoAttempt,12,1.925,Retained,4.02
01F5C0D43045941802EC883069FDBA3CECE1291C,3.253846154,60,Mechanical Engineering,Mechanical Engineering,M,White,White,WALT,WALT,MAC2311,MAC2311,C-,8,2.8125,Retained,4.49
027373C8981B196AB759EE0012E8E4435585441D,3.153846154,9,Electrical Engineering,Electrical Engineering,M,White,White,SANT,SANT,MAC1147,MAC1147,B+,12,3.233333333,Retained,3.75
02977CF46BCA7ABE811134CF58ACE5F988995CD1,0,44,Mechanical Engineering,Mechanical Engineering,M,White,White,DUVA,DUVA,MAC2311,MAC2311,A,12,3.666666667,Dropped,3.6
02EDB113AEC7A7E0EFA2BFBD1BEF274E78068977,2.59,6,Marine Biology,Marine Biology,F,Hispanic,Hispanic,SANT,SANT,MAC1105C,MAC1105C,B-,12,2.658333333,Retained,4.02
031CC68C3A5572A6205490B9037B286E3BC9BACD,2.03,14,Engineering,Engineering,M,White,White,SANT,SANT,MAC1147,MAC1147,C+,20,2.03,Dropped,3.13
03876BF335A33EC33A0BC7941670F3B1BCC89D2B,2.781081081,6,Marine Biology,Marine Biology,F,White,White,CITR,Others,MAC1147,MAC1147,B+,15,2.946666667,Retained,3.8
0525A645CD526DEF86164139D999DBBCCDC8DF28,3.685714286,10,Biomedical Sciences,Biomedical Sciences,M,White,White,ESCA,ESCA,NoAttempt,NoAttempt,NoAttempt,14,3.714285714,Retained,4
0526B21E8B7155523AB134D08775A284A3C2B92B,4,12,Biomedical Sciences,Biomedical Sciences,F,White,White,LEON,Others,MAC1147,MAC1147,A,15,4,Retained,4.24
053586B02976E7C8A5C847EE25495F8515E535D5,0,10,Software Design & Development,Software Design & Development,M,African American,African American,ORAN,ORAN,MAC1105C,MAC1105C,A-,13,2.915384615,Dropped,3.78
058C3814219CBC3068957450B5A842162041402D,2.277272727,0,Marine Biology,Marine Biology,M,White,White,ESCA,ESCA,MAC1105C,MAC1105C,W,6,2,Retained,3.3
059525A8D932DCCD3505C934F84929752A6700EE,4,0,Marine Biology,Marine Biology,F,White,White,NFLA,NFLA,MAC1105C,MAC1105C,A,15,4,Retained,4.13
06501E09C0F8D84E321C98738DBB19FB4C7BF669,3.511538462,20,Marine Biology,Marine Biology,F,White,White,NFLA,NFLA,NoAttempt,NoAttempt,NoAttempt,14,3.65,Retained,3.57
06EEA0D36EB8A396E70E9BDFE1883ECA4B759779,3.292857143,13,Marine Biology,Marine Biology,F,White,White,LEE,Others,MAC1105,MAC1105,B-,14,3.292857143,Dropped,5
07AFAE8AA57D74D0EE07509DBFD7FB096CC8C390,2.056666667,0,Biomedical Sciences,Biomedical Sciences,M,Hispanic,Hispanic,SANT,SANT,MAC1105C,MAC1105C,B-,15,2.446666667,Retained,3
07C3CD610049C08BCFD25BC6EEFB13B9C40BA0FD,3.212,19,Mechanical Engineering,Mechanical Engineering,M,White,White,WAKU,Others,MAC2311,MAC2311,A,13,3.7,Retained,3.9
085C27B1DFD8DAF44075ACB381945B6AF857DDCE,0,28,Marine Biology,Marine Biology,F,American Indian/Alaskan Native,Others,ESCA,ESCA,MAC1147,MAC1147,W,6,1.5,Dropped,3.76
0891428F42DBD8CF891B4D3B6342C6EF04221217,2.719047619,15,Mechanical Engineering,Mechanical Engineering,M,White,White,ORAN,ORAN,MAC1147,MAC1147,C,14,2.871428571,Retained,3.63
08B51DB404B981073255CC5E1D66B2A34C83D577,2.908823529,3,Biomedical Sciences,Biomedical Sciences,F,White,White,ESCA,ESCA,MAC1105,MAC1105,C-,12,2,Retained,4.22
08FD40199FB998EDF24256A1C72899D641A4AD12,3.682142857,3,Biomedical Sciences,Biomedical Sciences,F,White,White,NFLA,NFLA,MAC1147,MAC1147,B+,13,3.784615385,Retained,4.07
09094B9A1A26B65DB1C9D8172048286F55CAB876,2.911538462,0,Mechanical Engineering,Mechanical Engineering,M,White,White,OKAL,OKAL,MAC1147,MAC1147,B,13,2.823076923,Retained,3.73
091B3C93A1601C8345486BAF6636CE5D89CB3C8F,2.992,0,Mechanical Engineering,Mechanical Engineering,M,Hispanic,Hispanic,ESCA,ESCA,MAC1105C,MAC1105C,B-,13,3.069230769,Retained,3.7
092F698AD05C9A19D514C3C261C3380656E233C5,2.533333333,0,Biomedical Sciences,Biomedical Sciences,M,White,White,SANT,SANT,MAC1147,MAC1147,C+,12,2.533333333,Dropped,4.41
094BDEF6D7415F72B7D55943327AB58AB4737096,3.38,6,Biomedical Sciences,Biomedical Sciences,M,Hispanic,Hispanic,SANT,SANT,MAC1147,MAC1147,A,15,3.546666667,Retained,4.1
