,GPA_HIGHSCHOOL,Prior_Hours,ReFirstMathCrs,ReFirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
1,4.12,25,MAC1147,A_range,17,3.629411765,Retained
2,3.47,3,MAC1147,A_range,13,3.930769231,Retained
3,4,37,MAC2311/UP,A_range,15,3.72,Retained
4,3.46,0,MAC1147,B_range,13,2.946153846,Retained
5,4.11,0,MAC1105/C,Failed,13,2.461538462,Retained
6,2.6,7,MAC1105/C,B_range,9,2,Retained
7,4.02,50,NoAttempt,NoAttempt,12,1.925,Retained
8,4.49,60,MAC2311/UP,C_range,8,2.8125,Retained
9,3.75,9,MAC1147,B_range,12,3.233333333,Retained
10,3.6,44,MAC2311/UP,A_range,12,3.666666667,Dropped
11,4.02,6,MAC1105/C,B_range,12,2.658333333,Retained
12,3.13,14,MAC1147,C_range,20,2.03,Dropped
13,3.8,6,MAC1147,B_range,15,2.946666667,Retained
14,4,10,NoAttempt,NoAttempt,14,3.714285714,Retained
15,4.24,12,MAC1147,A_range,15,4,Retained
16,3.78,10,MAC1105/C,A_range,13,2.915384615,Dropped
17,3.3,0,MAC1105/C,Withdrawn,6,2,Retained
18,4.13,0,MAC1105/C,A_range,15,4,Retained
19,3.57,20,NoAttempt,NoAttempt,14,3.65,Retained
20,5,13,MAC1105/C,B_range,14,3.292857143,Dropped
21,3,0,MAC1105/C,B_range,15,2.446666667,Retained
22,3.9,19,MAC2311/UP,A_range,13,3.7,Retained
23,3.76,28,MAC1147,Withdrawn,6,1.5,Dropped
24,3.63,15,MAC1147,C_range,14,2.871428571,Retained
25,4.22,3,MAC1105/C,C_range,12,2,Retained
26,4.07,3,MAC1147,B_range,13,3.784615385,Retained
27,3.73,0,MAC1147,B_range,13,2.823076923,Retained
28,3.7,0,MAC1105/C,B_range,13,3.069230769,Retained
29,4.41,0,MAC1147,C_range,12,2.533333333,Dropped
30,4.1,6,MAC1147,A_range,15,3.546666667,Retained
31,2,0,MAC1105/C,Failed,10,0,Dropped
32,3,0,MAC1147,C_range,13,2.923076923,Retained
33,4.56,15,MAC1147,B_range,13,3.715384615,Retained
34,4.07,43,NoAttempt,NoAttempt,11,2.990909091,Retained
35,2.64,12,MAC1147,B_range,15,2.26,Retained
36,3.31,6,NoAttempt,NoAttempt,14,2.935714286,Retained
37,4.18,0,MAC1105/C,A_range,13,3.553846154,Retained
38,4.24,39,MAC1147,A_range,15,4,Retained
39,3.54,6,MAC1105/C,C_range,13,1.7,Dropped
